1576,1912,1580,2400,2940,3512,2280,2448,3028,2628,3088,2860,2332,4088,3328,2880,3052,3284,2984,3124,-5564,-5444,-5744,-4856,-5640,-19292,-20004,-16808,-14192,-16408,-14732,-15420,-16080,-14556,-15560,-15792,-15728,-15204,-15608,-15648,14096,13816,14096,13868,10860,136,-4676,-7336,-6576,-7164,-6488,-6492,-7304,-7128,-6636,-6464,-6716,-6300,-6800,-6392,166,-463,-140,-1210,-32768,-32768,-19664,-6388,-1921,44,-46,105,-659,117,-704,-216,-553,-602,-92,465,-59,76,239,-818,-15391,-1674,-161,-165,-89,-208,73,-578,659,-135,830,789,392,-174,349,25,-506,-516,-527,-388,-5269,3117,4085,3062,-816,-854,-1208,-413,-602,-1748,281,-284,-880,-372,-3,-1048,1898,1898,1898,1899,1899,1898,1897,1896,1895,1896,1895,1895,1895,1894,1895,1895,1895,1895,1895,1895,1507,1507,1507,1507,1508,1507,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1576,1576,1576,1576,1576,1564,1563,1563,1563,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1608,1608,1608,1608,1608,1604,1602,1601,1601,1601,1602,1602,1602,1602,1603,1603,1603,1603,1603,1603,1644,1643,1644,1643,1646,1645,1644,1644,1645,1646,1648,1648,1649,1649,1649,1649,1649,1649,1648,1647,
2184,2096,1844,2144,3376,5296,1920,2004,2456,2420,2124,1904,2152,2068,1856,2072,2172,2136,2096,2072,-6012,-6092,-5920,-6288,-4176,-8604,-17532,-18080,-16288,-15532,-15724,-15756,-15636,-15680,-15756,-15528,-15772,-15572,-15896,-15400,13596,13940,13868,13752,12276,5876,-3096,-7048,-6664,-6488,-7172,-6740,-6272,-6484,-6520,-6380,-6608,-6340,-6480,-6604,-375,-172,-148,-3226,-19620,-32768,-32768,-11219,-600,-1456,-861,1274,168,-88,-197,-48,-703,-500,-782,-987,-76,-2,29,360,-3030,-632,1233,-1013,-1366,822,596,308,1025,-228,580,177,-5,37,-368,-388,-378,-377,-396,-999,-5207,-4234,7175,1426,-3630,487,-166,-1230,11,-582,-784,-388,-298,-734,-749,-399,1895,1895,1896,1896,1896,1898,1893,1892,1892,1892,1892,1892,1892,1893,1893,1892,1893,1892,1892,1892,1508,1508,1508,1508,1508,1508,1506,1506,1506,1506,1506,1506,1505,1506,1505,1505,1505,1505,1505,1505,1569,1569,1569,1569,1569,1568,1563,1560,1555,1554,1555,1556,1556,1556,1556,1556,1551,1550,1550,1550,1607,1607,1607,1607,1607,1606,1601,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1636,1635,1636,1635,1638,1641,1641,1643,1649,1652,1654,1654,1655,1655,1656,1656,1656,1655,1656,1656,
2096,1244,2008,1900,3140,1484,6176,2040,2972,2864,2260,2780,2384,2336,2180,2352,2176,2492,1936,2496,-4220,-3516,-2772,-3424,-1388,-13292,-15496,-16144,-14644,-15996,-15804,-15644,-16308,-15732,-15776,-15832,-15448,-15412,-16280,-15776,14488,14396,14924,14944,14352,7612,-2888,-7828,-6124,-5492,-6088,-6164,-5904,-6368,-6648,-7096,-5928,-6676,-6156,-6348,-203,-63,123,-902,-9006,-21124,-32768,422,-3175,-1438,-319,-1768,-1749,-280,-497,-401,-993,-588,-636,-274,756,-24,717,-189,-158,-14859,-18945,1681,484,562,1007,1726,719,393,686,118,595,586,221,-19,-764,-1219,-605,-184,-1011,-2175,3887,-878,509,266,-439,676,791,-749,218,-1371,-886,-125,-336,-344,1894,1894,1894,1894,1894,1896,1880,1879,1879,1880,1880,1881,1881,1881,1882,1882,1882,1882,1882,1882,1508,1507,1508,1507,1507,1507,1504,1503,1503,1503,1503,1503,1503,1502,1502,1502,1501,1501,1501,1501,1563,1563,1563,1563,1563,1563,1561,1561,1561,1561,1561,1561,1561,1563,1565,1565,1565,1565,1565,1565,1603,1604,1603,1603,1603,1604,1588,1587,1587,1587,1588,1588,1587,1586,1586,1586,1586,1586,1585,1586,1636,1636,1636,1635,1640,1648,1648,1648,1649,1651,1652,1652,1651,1651,1651,1652,1652,1652,1651,1652,
1424,1400,1336,1744,3000,5076,2688,1976,1956,2112,1988,2248,1692,2392,1936,1900,1868,2312,2036,1864,-4236,-4396,-4100,-3344,-4696,-14452,-13924,-14844,-14972,-15076,-15120,-15484,-15408,-15172,-15092,-15444,-15612,-15220,-15576,-15652,14216,14308,14456,14420,12196,2048,-5660,-9156,-7272,-6868,-7116,-7108,-7260,-7480,-7740,-7088,-7312,-7456,-7436,-7312,-135,-225,-646,-2665,-31071,-32768,-15701,4053,2683,1260,630,-1441,-1742,-1023,-661,-818,-1614,-529,-324,-17,82,-27,-115,38,-10350,-12978,-1691,-3131,-287,-31,-110,19,240,201,105,381,276,466,687,-25,-437,-355,-366,-728,-3951,4580,1951,-3667,-525,-1145,-1491,-454,-885,-654,-438,-197,89,-261,-336,-278,1893,1893,1893,1892,1894,1890,1889,1884,1884,1884,1884,1884,1884,1884,1884,1885,1885,1885,1885,1885,1507,1507,1507,1507,1507,1505,1505,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1567,1566,1567,1567,1567,1563,1561,1560,1556,1554,1551,1552,1553,1552,1553,1553,1553,1553,1554,1554,1603,1604,1603,1603,1603,1597,1596,1595,1596,1596,1596,1596,1596,1596,1597,1597,1596,1596,1596,1597,1641,1641,1641,1641,1650,1650,1650,1650,1651,1651,1651,1652,1652,1652,1652,1652,1652,1652,1652,1652,
2100,2392,2092,2092,2208,6748,6128,988,3520,2956,3092,3264,3280,3108,3020,3404,3040,3220,3108,3140,-4580,-4432,-4528,-4720,-3896,-10756,-21760,-17920,-16044,-15948,-15716,-15924,-15872,-15504,-15660,-15812,-15300,-15772,-15408,-15048,14192,14160,14036,14452,13784,11692,-768,-6608,-8180,-5976,-6132,-6616,-6724,-6052,-6420,-6680,-6116,-6292,-6736,-6392,-319,-144,-140,-326,-14849,-32768,-32768,-18475,-3053,-2316,-1890,-874,-1862,-510,-53,-738,-444,-495,-95,-54,-90,26,196,-11,-1488,-14620,2871,-502,-465,2141,1305,367,1226,737,-37,-84,156,-50,-444,392,-228,-271,-430,-292,-4055,-10513,18656,8443,1112,991,143,-198,-248,-600,-623,-344,-665,-426,-678,-332,1888,1888,1888,1888,1888,1893,1889,1888,1887,1887,1888,1888,1888,1888,1888,1888,1888,1888,1888,1888,1507,1507,1507,1507,1507,1507,1507,1506,1506,1506,1506,1506,1506,1506,1506,1506,1505,1506,1506,1506,1562,1562,1562,1562,1562,1569,1556,1557,1557,1557,1558,1557,1557,1558,1558,1558,1557,1557,1558,1558,1603,1603,1603,1603,1602,1601,1594,1594,1593,1592,1592,1593,1593,1592,1592,1592,1592,1592,1593,1593,1637,1637,1637,1637,1642,1652,1652,1652,1653,1653,1654,1654,1654,1655,1655,1655,1655,1655,1655,1655,
1808,1820,1880,1876,1784,2308,2692,2524,2140,2112,2024,1932,2084,2028,1848,2008,2052,2112,2012,2240,-4636,-4184,-4096,-4236,-4284,-4784,-4068,-3832,-4028,-3984,-3712,-3920,-3804,-3700,-3932,-3632,-3768,-3748,-3832,-3644,14228,14372,14480,14412,14024,14140,13872,14448,14304,13984,14192,14440,14104,14080,14528,14348,14504,14248,14596,14588,-324,-96,-153,-194,-303,-115,970,345,31,-68,281,-102,-206,-204,-185,11,-55,-175,-430,-538,-204,8,81,195,-81,-902,320,323,254,231,531,554,370,230,134,458,323,510,-19,-80,-573,-388,-437,-432,-171,-126,-380,-247,-350,-599,-407,-461,-645,-502,-510,-588,-549,-441,-621,-1308,1888,1889,1888,1888,1888,1889,1888,1888,1888,1888,1888,1888,1888,1888,1888,1888,1888,1888,1888,1889,1508,1508,1508,1508,1508,1507,1504,1502,1501,1501,1500,1500,1499,1499,1499,1499,1499,1499,1499,1502,1568,1568,1567,1567,1408,939,858,861,875,884,886,890,899,907,913,918,922,925,938,1132,1601,1601,1601,1601,1601,1586,1548,1541,1538,1536,1532,1532,1532,1532,1533,1534,1535,1536,1538,1581,1639,1639,1638,1639,1637,1636,1636,1636,1636,1636,1635,1636,1636,1636,1636,1636,1636,1636,1636,1636,
1612,1604,1364,1532,1544,1372,1316,1596,1616,1600,1520,1600,1408,1588,1548,2452,2044,1592,1460,1288,-3656,-3664,-3772,-3888,-3572,-4160,-3992,-3968,-3860,-3844,-3984,-3952,-3792,-3884,-3892,-3944,-3016,-3960,-3824,-3744,14520,14588,14448,14584,14560,14628,13968,14192,14412,13928,13768,14440,14500,14372,14468,14624,14252,15080,14820,14532,-257,-359,-289,-161,-262,-1565,-78,-188,-225,57,54,-37,-298,-195,-567,-128,1217,121,-363,-355,77,-113,32,74,-228,-1047,-202,48,363,429,892,549,370,25,-459,-592,2019,1096,-481,-178,-445,-530,-546,-389,-38,584,222,-368,-341,-560,-382,-382,-444,-451,-871,-2701,-317,718,-548,-746,1890,1890,1890,1890,1890,1890,1890,1890,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1507,1507,1507,1507,1507,1507,1506,1504,1504,1504,1504,1504,1505,1504,1503,1505,1507,1507,1508,1508,1561,1561,1561,1560,1302,945,888,866,869,881,891,899,904,907,917,1087,1553,1603,1595,1584,1605,1605,1605,1605,1605,1601,1578,1550,1547,1543,1544,1547,1547,1544,1542,1588,1604,1606,1606,1606,1639,1639,1639,1639,1639,1637,1637,1637,1637,1637,1636,1637,1637,1637,1637,1637,1638,1638,1638,1638,
1444,1324,1504,1344,908,1816,2260,2388,2236,2436,2512,2436,2380,2448,2548,2392,2056,2132,1360,1592,-3828,-3852,-3764,-3816,-3708,-4768,-3696,-4276,-4132,-3892,-3864,-4148,-3888,-4016,-3732,-3584,-3768,-3960,-2988,-3072,14568,14372,14316,14500,14684,14700,13932,14664,14744,14736,14552,14872,14840,14348,14648,14320,14400,14424,14304,14944,-101,-358,-211,68,-1703,209,-397,-157,30,-200,106,-31,-235,-89,-140,-177,-317,520,909,-199,-40,-198,155,316,-1293,-2852,-259,-346,-506,-370,-236,-37,-171,-396,172,394,166,785,2667,254,-461,-513,-204,-581,863,-369,-1125,-758,-566,-631,-557,-435,-288,-367,-495,-604,-448,-1324,-2189,120,1891,1891,1891,1891,1891,1891,1891,1892,1893,1893,1893,1893,1892,1892,1892,1892,1892,1892,1892,1892,1508,1509,1509,1509,1509,1506,1504,1503,1503,1503,1503,1502,1502,1501,1501,1501,1500,1503,1506,1507,1559,1560,1560,1536,1075,862,848,868,881,888,896,902,908,916,924,928,935,1047,1579,1619,1607,1607,1607,1608,1602,1547,1521,1524,1521,1516,1516,1515,1516,1520,1520,1521,1521,1568,1605,1609,1639,1638,1638,1639,1638,1637,1638,1638,1638,1638,1638,1639,1638,1639,1639,1639,1639,1639,1639,1639,
1312,1260,1328,1216,1232,1160,1152,1324,1220,1144,1332,1348,1232,1452,1224,1096,1208,1020,1008,1176,-3712,-3400,-3576,-3528,-3560,-3448,-3712,-3464,-3588,-3532,-3736,-3664,-3548,-3672,-3800,-3580,-3520,-3628,-3724,-3656,14720,14368,14564,14496,14444,14548,14892,14368,14456,14808,14604,14716,14744,14816,14960,14708,14832,14908,14708,14748,-228,-231,-316,-334,-204,-210,-710,-118,-186,-200,-431,-86,-242,-86,-237,-275,-231,-505,-325,-279,-76,-14,26,4,50,48,-494,280,41,80,240,262,145,-45,-367,-256,-201,-423,-190,-330,-435,-371,-413,-537,-477,-170,186,328,-453,-595,-327,-288,-429,-409,-437,-429,-536,-641,-390,-423,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1894,1893,1893,1894,1893,1509,1509,1509,1509,1509,1509,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1568,1568,1568,1568,1568,1321,988,927,916,916,937,946,951,956,964,967,967,968,971,972,1608,1608,1608,1609,1608,1608,1602,1592,1583,1575,1574,1574,1574,1573,1573,1573,1573,1572,1571,1570,1640,1640,1640,1640,1640,1639,1638,1636,1635,1635,1633,1632,1632,1631,1630,1630,1630,1629,1629,1628,
968,1140,1212,1116,1104,1208,1016,1164,696,896,1276,1412,1236,1260,1348,1176,1064,1184,1200,1152,-3532,-3548,-3792,-3436,-3636,-3584,-3540,-3656,-3328,-3528,-3244,-3284,-3392,-3440,-3488,-3476,-3352,-3772,-3396,-3360,14548,14716,14496,14512,14640,14612,14744,14740,14204,14356,14092,14316,14384,14368,14280,14296,14284,14216,14524,14324,-336,-335,-387,-217,-305,-280,-185,-610,474,513,-164,188,-284,-321,-173,-72,-54,88,-105,-152,-20,49,111,-1,25,64,-520,-523,540,845,444,1130,600,432,303,545,614,738,742,411,-671,-195,-356,-534,-437,-546,79,104,-613,-551,-308,-483,-545,-444,-491,-552,-510,-515,-328,-254,1894,1895,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1894,1509,1510,1509,1510,1510,1510,1509,1507,1504,1503,1502,1503,1503,1503,1503,1503,1503,1503,1503,1502,1565,1565,1565,1565,1565,1558,1185,882,857,871,884,888,893,900,907,913,920,926,929,929,1606,1607,1607,1606,1607,1606,1599,1535,1515,1513,1516,1519,1522,1523,1524,1526,1527,1528,1529,1528,1638,1637,1637,1638,1638,1637,1637,1635,1635,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,
